utc,steptype,heatread
29/08/2017 12:53,2,169.1
29/08/2017 12:53,2,169.1
29/08/2017 12:53,2,169.1
29/08/2017 12:53,2,169.3
29/08/2017 12:53,2,169.3
29/08/2017 12:53,2,169.2
29/08/2017 12:53,2,169.2
29/08/2017 12:53,2,169.3
29/08/2017 12:53,2,169.3
29/08/2017 12:53,2,169.2
29/08/2017 12:53,2,169.2
29/08/2017 12:53,2,169.2
29/08/2017 12:53,2,169.2
29/08/2017 12:53,2,169.2
29/08/2017 12:53,2,169.2
29/08/2017 12:53,2,169.1
29/08/2017 12:53,2,169.1
29/08/2017 12:53,2,169.2
29/08/2017 12:53,2,169.2
29/08/2017 12:53,2,169.2
29/08/2017 12:53,2,169.2
29/08/2017 12:53,2,169.1
29/08/2017 12:53,2,169.1
29/08/2017 12:53,2,169.1
29/08/2017 12:53,2,169.1
29/08/2017 12:54,2,169.1
29/08/2017 12:54,2,169.1
29/08/2017 12:54,2,169.2
29/08/2017 12:54,2,169.2
29/08/2017 12:54,2,169.3
29/08/2017 12:54,2,169.3
29/08/2017 12:54,2,169.3
29/08/2017 12:54,2,169.3
29/08/2017 12:54,2,169.3
29/08/2017 12:54,2,169.3
29/08/2017 12:54,2,169.4
29/08/2017 12:54,2,169.4
29/08/2017 12:54,2,169.4
29/08/2017 12:54,2,169.4
29/08/2017 12:54,2,169.5
29/08/2017 12:54,2,169.5
29/08/2017 12:54,2,169.5
29/08/2017 12:54,2,169.5
29/08/2017 12:54,2,169.7
29/08/2017 12:54,2,169.7
29/08/2017 12:54,2,169.7
29/08/2017 12:54,2,169.7
29/08/2017 12:54,2,169.7
29/08/2017 12:54,2,169.7
29/08/2017 12:54,2,169.7
29/08/2017 12:54,2,169.7
29/08/2017 12:54,2,169.8
29/08/2017 12:54,2,169.8
29/08/2017 12:54,2,169.8
29/08/2017 12:54,2,169.8
29/08/2017 12:54,2,169.8
29/08/2017 12:54,2,169.8
29/08/2017 12:54,2,169.8
29/08/2017 12:54,2,169.8
29/08/2017 12:54,2,169.8
29/08/2017 12:54,2,169.8
29/08/2017 12:54,2,169.8
29/08/2017 12:54,2,169.8
29/08/2017 12:54,2,169.9
29/08/2017 12:54,2,169.9
29/08/2017 12:54,2,169.9
29/08/2017 12:54,2,169.9
29/08/2017 12:54,2,169.9
29/08/2017 12:54,2,169.9
29/08/2017 12:54,2,169.9
29/08/2017 12:54,2,169.9
29/08/2017 12:54,2,169.8
29/08/2017 12:54,2,169.8
29/08/2017 12:54,2,169.8
29/08/2017 12:54,2,169.8
29/08/2017 12:54,2,169.9
29/08/2017 12:54,2,169.9
29/08/2017 12:54,2,169.9
29/08/2017 12:54,2,169.9
29/08/2017 12:54,2,170
29/08/2017 12:54,2,170
29/08/2017 12:54,2,170
29/08/2017 12:54,2,170
29/08/2017 12:54,2,170.1
29/08/2017 12:54,2,170.1
29/08/2017 12:55,2,170.2
29/08/2017 12:55,2,170.2
29/08/2017 12:55,2,170.2
29/08/2017 12:55,2,170.2
29/08/2017 12:55,2,170.2
29/08/2017 12:55,2,170.2
29/08/2017 12:55,2,170.1
29/08/2017 12:55,2,170.1
29/08/2017 12:55,2,170.2
29/08/2017 12:55,2,170.2
29/08/2017 12:55,2,170.3
29/08/2017 12:55,2,170.3
29/08/2017 12:55,2,170.3
29/08/2017 12:55,2,170.3
29/08/2017 12:55,2,170.3
29/08/2017 12:55,2,170.3
29/08/2017 12:55,2,170.4
29/08/2017 12:55,2,170.4
29/08/2017 12:55,2,170.4
29/08/2017 12:55,2,170.4
29/08/2017 12:55,2,170.4
29/08/2017 12:55,2,170.4
29/08/2017 12:55,2,170.5
29/08/2017 12:55,2,170.5
29/08/2017 12:55,2,170.5
29/08/2017 12:55,2,170.5
29/08/2017 12:55,2,170.5
29/08/2017 12:55,2,170.5
29/08/2017 12:55,2,170.5
29/08/2017 12:55,2,170.5
29/08/2017 12:55,2,170.5
29/08/2017 12:55,2,170.5
29/08/2017 12:55,2,170.6
29/08/2017 12:55,2,170.6
29/08/2017 12:55,2,170.6
29/08/2017 12:55,2,170.6
29/08/2017 12:55,2,170.7
29/08/2017 12:55,2,170.7
29/08/2017 12:55,2,170.5
29/08/2017 12:55,2,170.5
29/08/2017 12:55,2,170.5
29/08/2017 12:55,2,170.5
29/08/2017 12:55,2,170.5
29/08/2017 12:55,2,170.5
29/08/2017 12:55,2,170.6
29/08/2017 12:55,2,170.6
29/08/2017 12:55,2,170.6
29/08/2017 12:55,2,170.6
29/08/2017 12:55,2,170.8
29/08/2017 12:55,2,170.8
29/08/2017 12:55,2,170.8
29/08/2017 12:55,2,170.8
29/08/2017 12:55,2,170.7
29/08/2017 12:55,2,170.7
29/08/2017 12:55,2,170.7
29/08/2017 12:55,2,170.7
29/08/2017 12:55,2,170.7
29/08/2017 12:55,2,170.7
29/08/2017 12:55,2,170.7
29/08/2017 12:55,2,170.7
29/08/2017 12:56,2,170.8
29/08/2017 12:56,2,170.8
29/08/2017 12:56,2,171
29/08/2017 12:56,2,171
29/08/2017 12:56,2,170.9
29/08/2017 12:56,2,170.9
29/08/2017 12:56,2,170.9
29/08/2017 12:56,2,170.9
29/08/2017 12:56,2,170.9
29/08/2017 12:56,2,170.9
29/08/2017 12:56,2,170.8
29/08/2017 12:56,2,170.8
29/08/2017 12:56,2,170.8
